name,code,wmf_region
France,FRA,Northern & Western Europe
French Polynesia,PYF,"East, Southeast Asia, & Pacific"
Gabon,GAB,Sub-Saharan Africa
"Gambia, The",GMB,Sub-Saharan Africa
Georgia,GEO,Central & Eastern Europe & Central Asia
Germany,DEU,Northern & Western Europe
Ghana,GHA,Sub-Saharan Africa
Gibraltar,GIB,Northern & Western Europe
Greece,GRC,Central & Eastern Europe & Central Asia
Greenland,GRL,Northern & Western Europe
Grenada,GRD,Latin America & Caribbean
Guam,GUM,"East, Southeast Asia, & Pacific"
Guatemala,GTM,Latin America & Caribbean
Guinea,GIN,Sub-Saharan Africa
Guinea-Bissau,GNB,Sub-Saharan Africa
Guyana,GUY,Latin America & Caribbean
Haiti,HTI,Latin America & Caribbean
Honduras,HND,Latin America & Caribbean
"Hong Kong SAR, China",HKG,"East, Southeast Asia, & Pacific"
Hungary,HUN,Central & Eastern Europe & Central Asia
Iceland,ISL,Northern & Western Europe
India,IND,South Asia
Indonesia,IDN,"East, Southeast Asia, & Pacific"
"Iran, Islamic Rep.",IRN,Middle East & North Africa
Iraq,IRQ,Middle East & North Africa
Ireland,IRL,Northern & Western Europe
Isle of Man,IMN,Northern & Western Europe
Israel,ISR,Middle East & North Africa
Italy,ITA,Northern & Western Europe
Jamaica,JAM,Latin America & Caribbean
Japan,JPN,"East, Southeast Asia, & Pacific"
Jordan,JOR,Middle East & North Africa
Kazakhstan,KAZ,Central & Eastern Europe & Central Asia
Kenya,KEN,Sub-Saharan Africa
Kiribati,KIR,"East, Southeast Asia, & Pacific"
"Korea, Dem. People's Rep.",PRK,"East, Southeast Asia, & Pacific"
"Korea, Rep.",KOR,"East, Southeast Asia, & Pacific"
Kosovo,XKX,Central & Eastern Europe & Central Asia
Kuwait,KWT,Middle East & North Africa
Kyrgyz Republic,KGZ,Central & Eastern Europe & Central Asia
Lao PDR,LAO,"East, Southeast Asia, & Pacific"
Latvia,LVA,Central & Eastern Europe & Central Asia
Lebanon,LBN,Middle East & North Africa
Lesotho,LSO,Sub-Saharan Africa
Liberia,LBR,Sub-Saharan Africa
Libya,LBY,Middle East & North Africa
Liechtenstein,LIE,Northern & Western Europe
Lithuania,LTU,Central & Eastern Europe & Central Asia
Luxembourg,LUX,Northern & Western Europe
"Macao SAR, China",MAC,"East, Southeast Asia, & Pacific"
Madagascar,MDG,Sub-Saharan Africa
Malawi,MWI,Sub-Saharan Africa
Malaysia,MYS,"East, Southeast Asia, & Pacific"
Maldives,MDV,South Asia
Mali,MLI,Sub-Saharan Africa
Malta,MLT,Middle East & North Africa
Marshall Islands,MHL,"East, Southeast Asia, & Pacific"
Mauritania,MRT,Sub-Saharan Africa
Mauritius,MUS,Sub-Saharan Africa
Mexico,MEX,Latin America & Caribbean
"Micronesia, Fed. Sts.",FSM,"East, Southeast Asia, & Pacific"
Moldova,MDA,Central & Eastern Europe & Central Asia
Monaco,MCO,Northern & Western Europe
Mongolia,MNG,"East, Southeast Asia, & Pacific"
Montenegro,MNE,Central & Eastern Europe & Central Asia
Morocco,MAR,Middle East & North Africa
Mozambique,MOZ,Sub-Saharan Africa
Myanmar,MMR,"East, Southeast Asia, & Pacific"
Namibia,NAM,Sub-Saharan Africa
Nauru,NRU,"East, Southeast Asia, & Pacific"
Nepal,NPL,South Asia
Netherlands,NLD,Northern & Western Europe
New Caledonia,NCL,"East, Southeast Asia, & Pacific"
New Zealand,NZL,"East, Southeast Asia, & Pacific"
Nicaragua,NIC,Latin America & Caribbean
Niger,NER,Sub-Saharan Africa
Nigeria,NGA,Sub-Saharan Africa
North Macedonia,MKD,Central & Eastern Europe & Central Asia
Northern Mariana Islands,MNP,"East, Southeast Asia, & Pacific"
Norway,NOR,Northern & Western Europe
Oman,OMN,Middle East & North Africa
Pakistan,PAK,South Asia
Palau,PLW,"East, Southeast Asia, & Pacific"
Panama,PAN,Latin America & Caribbean
Papua New Guinea,PNG,"East, Southeast Asia, & Pacific"
Paraguay,PRY,Latin America & Caribbean
Peru,PER,Latin America & Caribbean
Philippines,PHL,"East, Southeast Asia, & Pacific"
Poland,POL,Central & Eastern Europe & Central Asia
Portugal,PRT,Northern & Western Europe
Puerto Rico,PRI,Latin America & Caribbean
Qatar,QAT,Middle East & North Africa
Romania,ROU,Central & Eastern Europe & Central Asia
Russian Federation,RUS,Central & Eastern Europe & Central Asia
Rwanda,RWA,Sub-Saharan Africa
Samoa,WSM,"East, Southeast Asia, & Pacific"
San Marino,SMR,Northern & Western Europe
Sao Tome and Principe,STP,Sub-Saharan Africa
Saudi Arabia,SAU,Middle East & North Africa
Senegal,SEN,Sub-Saharan Africa
Serbia,SRB,Central & Eastern Europe & Central Asia
Seychelles,SYC,Sub-Saharan Africa
Sierra Leone,SLE,Sub-Saharan Africa
Singapore,SGP,"East, Southeast Asia, & Pacific"
Sint Maarten (Dutch part),SXM,Latin America & Caribbean
Slovak Republic,SVK,Central & Eastern Europe & Central Asia
Slovenia,SVN,Central & Eastern Europe & Central Asia
Solomon Islands,SLB,"East, Southeast Asia, & Pacific"
Somalia,SOM,Sub-Saharan Africa
South Africa,ZAF,Sub-Saharan Africa
South Sudan,SSD,Sub-Saharan Africa
Spain,ESP,Northern & Western Europe
Sri Lanka,LKA,South Asia
St. Kitts and Nevis,KNA,Latin America & Caribbean
St. Lucia,LCA,Latin America & Caribbean
St. Martin (French part),MAF,Latin America & Caribbean
St. Vincent and the Grenadines,VCT,Latin America & Caribbean
Sudan,SDN,Sub-Saharan Africa
Suriname,SUR,Latin America & Caribbean
Sweden,SWE,Northern & Western Europe
Switzerland,CHE,Northern & Western Europe
Syrian Arab Republic,SYR,Middle East & North Africa
Tajikistan,TJK,Central & Eastern Europe & Central Asia
Tanzania,TZA,Sub-Saharan Africa
Thailand,THA,"East, Southeast Asia, & Pacific"
Timor-Leste,TLS,"East, Southeast Asia, & Pacific"
Togo,TGO,Sub-Saharan Africa
Tonga,TON,"East, Southeast Asia, & Pacific"
Trinidad and Tobago,TTO,Latin America & Caribbean
Tunisia,TUN,Middle East & North Africa
Turkey,TUR,Central & Eastern Europe & Central Asia
Turkmenistan,TKM,Central & Eastern Europe & Central Asia
Turks and Caicos Islands,TCA,Latin America & Caribbean
Tuvalu,TUV,"East, Southeast Asia, & Pacific"
Uganda,UGA,Sub-Saharan Africa
Ukraine,UKR,Central & Eastern Europe & Central Asia
United Arab Emirates,ARE,Middle East & North Africa
United Kingdom,GBR,Northern & Western Europe
United States,USA,North America
Uruguay,URY,Latin America & Caribbean
Uzbekistan,UZB,Central & Eastern Europe & Central Asia
Vanuatu,VUT,"East, Southeast Asia, & Pacific"
"Venezuela, RB",VEN,Latin America & Caribbean
Vietnam,VNM,"East, Southeast Asia, & Pacific"
Virgin Islands (U.S.),VIR,Latin America & Caribbean
West Bank and Gaza,PSE,Middle East & North Africa
"Yemen, Rep.",YEM,Middle East & North Africa
Zambia,ZMB,Sub-Saharan Africa
Zimbabwe,ZWE,Sub-Saharan Africa
