timestamp,access_method,sum_view_count
2022-01-01 0:00:00,mobile web,10371253084
2022-01-01 0:00:00,desktop,6824138988
2022-02-01 0:00:00,mobile web,9383300619
2022-02-01 0:00:00,desktop,6539211984
2022-03-01 0:00:00,mobile web,9871092951
2022-03-01 0:00:00,desktop,6963633753
2022-04-01 0:00:00,mobile web,9357174954
2022-04-01 0:00:00,desktop,6622488767
2022-05-01 0:00:00,mobile web,9402799565
2022-05-01 0:00:00,desktop,6833854112
2022-06-01 0:00:00,mobile web,8918896286
2022-06-01 0:00:00,desktop,6448311866
2022-07-01 0:00:00,mobile web,9885975753
2022-07-01 0:00:00,desktop,6275766823
2022-08-01 0:00:00,mobile web,10795293906
2022-08-01 0:00:00,desktop,6337487379
2022-09-01 0:00:00,mobile web,11752015961
2022-09-01 0:00:00,desktop,6273930253
2022-10-01 0:00:00,mobile web,11788762097
2022-10-01 0:00:00,desktop,6840384528
2022-11-01 0:00:00,mobile web,12391976341
2022-11-01 0:00:00,desktop,6805916532
2022-12-01 0:00:00,mobile web,10337025889
2022-12-01 0:00:00,desktop,6418692915
2023-01-01 0:00:00,mobile web,11696161723
2023-01-01 0:00:00,desktop,6852851139
2023-02-01 0:00:00,mobile web,11232705049
2023-02-01 0:00:00,desktop,5954511062
2023-03-01 0:00:00,mobile web,12446377134
2023-03-01 0:00:00,desktop,6694718362
2023-04-01 0:00:00,desktop,6049061079
2023-04-01 0:00:00,mobile web,10744524444
2023-05-01 0:00:00,desktop,6314699622
2023-05-01 0:00:00,mobile web,12693687368
