timestamp,access_method,sum_view_count
1/1/22 0:00,desktop,981430176
1/1/22 0:00,mobile web,169578714
2/1/22 0:00,desktop,943990020
2/1/22 0:00,mobile web,173159113
3/1/22 0:00,desktop,955283915
3/1/22 0:00,mobile web,165672929
4/1/22 0:00,desktop,1170709355
4/1/22 0:00,mobile web,177146760
5/1/22 0:00,desktop,1404076481
5/1/22 0:00,mobile web,207379981
6/1/22 0:00,desktop,1487631744
6/1/22 0:00,mobile web,183107522
7/1/22 0:00,desktop,1538882239
7/1/22 0:00,mobile web,675023735
8/1/22 0:00,desktop,1416896040
8/1/22 0:00,mobile web,1137371745
9/1/22 0:00,mobile web,1747618573
9/1/22 0:00,desktop,1091862714
10/1/22 0:00,mobile web,1566763118
10/1/22 0:00,desktop,1308057190
11/1/22 0:00,mobile web,2035001767
11/1/22 0:00,desktop,1245969839
12/1/22 0:00,desktop,1260815428
12/1/22 0:00,mobile web,416064076
